date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:08	335/335	---MCZ	200	added ('OK')	text/plain	etag:W/%2223c-uFRgm1F3YPffHfLw1h+mAl7XiDo%22	https://www.estudio56puntacana.com/robots.txt		(from )
01:01:08	754099/754099	---MCZ	200	added ('OK')	text/html	etag:W/%220a234f3ae2454bf00443a0d726225456%22	https://www.estudio56puntacana.com/	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/index.html	(from )
01:01:08	2212/2212	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Sep%202025%2005:01:08%20GMT	https://www.estudio56puntacana.com/c	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/c.1.delayed	(from https://www.estudio56puntacana.com/)
01:01:09	2212/2212	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Sep%202025%2005:01:09%20GMT	https://www.estudio56puntacana.com/t	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/t.2.delayed	(from https://www.estudio56puntacana.com/)
01:01:11	1048753/1048753	---MCZ	200	added ('OK')	text/html	etag:W/%2203e03ab7e99b16b9d9a05b74c9faf831%22	https://www.estudio56puntacana.com/catalogo	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/catalogo.html	(from https://www.estudio56puntacana.com/)
01:01:12	644492/644492	---MCZ	200	added ('OK')	text/html	etag:W/%221351510670e6a9786f3051f4ad879222%22	https://www.estudio56puntacana.com/blank	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/blank.html	(from https://www.estudio56puntacana.com/)
01:01:13	866458/866458	---MCZ	200	added ('OK')	text/html	etag:W/%22feabf7793eb51acc1c89e5d7be8c3071%22	https://www.estudio56puntacana.com/contactanos	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/contactanos.html	(from https://www.estudio56puntacana.com/)
01:01:14	254/254	---MCZ	200	added ('OK')	text/xml	etag:W/%22fe-ThucyJWaCaeyEzRER8r/JbhNLW4%22	https://www.estudio56puntacana.com/sitemap.xml	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/sitemap.xml	(from https://www.estudio56puntacana.com/)
01:01:14	2212/2212	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Sep%202025%2005:01:14%20GMT	https://www.estudio56puntacana.com/feed.xml	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/feed.7.delayed	(from https://www.estudio56puntacana.com/)
01:01:15	2209/2209	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2005%20Sep%202025%2005:01:15%20GMT	https://www.estudio56puntacana.com/decodeURIComponent(e	/Users/isaacmendezrosario/Desktop/WEBSITE/httracker/mirror/estudio56_full_site/www.estudio56puntacana.com/decodeURIComponent(e.8.delayed	(from https://www.estudio56puntacana.com/)
